SKU;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;CATEGORIES;DESCRIPTION
PGI069;Pc Intel Core I7 8700 - 8gb - 550 4gb - 500w - K20;1033710.00;738360.00;100;24475258;
VGA1555;Placa de Video Geforce Gt 710 1gb Msi Lp;88559.00;63256.00;100;24475258;<p><b>Especificaciones Técnicas </b></p><p>Motor gráfico: Nvidia GeForce GT 710</br>Bus Standard: PCI Express x8 2.0</br>Tipo de Memoria: DDR3</br>Tamaño de memoria: 1024</br>Interfaz de Memoria: 64-bit </br>Velocidad de reloj de núcleo (Mhz): 954</br>Velocidad del reloj de memoria (Mhz): 1600</br>Salidas: DVI / HDMI</br>Salida D-Sub: 1</br>Soporte HDCP: Sí</br>Soporte HDMI: Sí</br>Dual-Link DVI: Sí</br>Salida Display: 2560x1600</p></p>
AUR295;Auriculares Asus Rog Strix Fusion 300 Virtual 71;48286.00;34491.00;100;24475258;Especificaciones Tecnicas:</br></br>Conector:</br>- USB</br>Conector de 3.5 mm(1/8) Audio/Microfono </br></br>Plataforma:</br></br>- PC</br>- MAC</br>- Dispositivos moviles</br>- PlayStation 4</br>- Xbox One</br></br>Longitud del cable:</br></br>- 2 Metros</br></br>"
MOT1258;Mother Asus Rog Maximus X Apex ;86126.00;61517.00;100;24475258;<p>Tarjeta madre EATX Intel Z370 para entusiastas del rendimiento extremo, DDR4 4500 MHz+, ROG DIMM.2 (dos M.2), 5G Ethernet integrado, USB 3.1 Gen.2 e iluminación Aura Sync RGB</p><p>-Socket LGA1151 para la 8ª gen. de procesadores Intel® Core™.</p><p>-Diseñada para rendir más: Circuito 2-DIMM optimizado para acelerar la memoria DDR4 a 4500 MHz+ y más.</p><p>-Kit del Overclocker: Controles a nivel hardware y circuitos de detección de condensación que facilitan las tareas de overclocking bajo cero.</p><p>-ROG DIMM.2: Tarjeta de expansión vertical con soporte de ventilador para potenciar la ventilación y el rendimiento.</p><p>-5-Way Optimization: Ajustes automáticos de todo el sistema con perfiles de overclocking y refrigeración creados específicamente para tu equipo.</p><p>-Conectividad de vanguardia: 5G Ethernet e Intel Gigabit Ethernet para disfrutar de unas transmisiones a velocidades increíbles.</p><p>-Tu placa, tu insignia: Iluminación Aura Sync RGB, 4 conectores RGB de 4 contactos, insignia que puedes personalizar con tu nombre y PCB en forma de X.</p><p>-Sonido inmersivo: SupremeFX crea una ambientación sónica que te mete de lleno en la acción.</p><p>-La mejor protección: SafeSlot con patente en trámite, SafeDIMM y componentes de alta gama que duran más.</p><p>Especificaciones:</p><p>CPU</br>Intel® Socket 1151 for 8th Generation Core™ Processors</p><p>Chipset</br>Intel® Z370</p><p>Memoria</br>2 x DIMM, Max. 32GB, DDR4 4500(O.C)/4333(O.C.)/4266(O.C.)/4200(O.C.)/4133(O.C.)/4000(O.C.)/3866(O.C.)/3733(O.C.)/3466(O.C.)/3400(O.C.)/3333(O.C.)/3200(O.C.)/3000(O.C.)/2800(O.C.)/2666/2400/2133 MHz Non-ECC, Un-buffered Memory </p><p>Gráficos</br>Integrated Graphics Processor- Intel® HD Graphics support </br>Multi-VGA output support : HDMI/DisplayPort ports </br>- Supports HDMI with max. resolution 4096 x 2160 @ 24 Hz</br>- Supports DisplayPort 1.2 with max. resolution 4096 x 2304 @ 60 Hz</br>Maximum shared memory of 1024 MB</br>Soporte Multi GPU</br>Supports NVIDIA® 2-Way SLI™ Technology </br>Supports AMD 4-Way CrossFireX Technology </br>Supports AMD 3-Way CrossFireX™ Technology </br>Supports AMD 2-Way CrossFireX Technology</br>Slots de Expansión</br>3 x PCIe 3.0 x16 (x16 or dual x8 or x8/x4/x4) </br>1 x PCIe 3.0 x16 (max at x4 mode) </br>2 x PCIe 3.0/2.0 x1</p><p>Almacenamiento</br>1 x ROG DIMM.2 Module support(PCH_DIMM.2), with M key, type 2242/2260/2280/22110 storage devices support (PCIE 3.0 x 4 mode)</br>1 x ROG DIMM.2 Module support(PCH_DIMM.2), with M key, type 2242/2260/2280/22110 storage devices support (SATA & PCIE 3.0 x 4 mode)</br>4 x SATA 6Gb/s port(s)</br>Support Raid 0, 1, 5, 10</br>Supports Intel® Smart Response Technology</p><p>Intel® Optane™ Memory Ready</p><p>LAN</br>Intel® I219V, Dual interconnect between the Integrated Media Access Controller (MAC) and Physical Layer (PHY)</p><p>Audio</br>ROG SupremeFX 8-Channel High Definition Audio CODEC S1220A</br>- Impedance sense for front and rear headphone outputs</br>- Supports : Jack-detection, Multi-streaming, Front Panel Jack-retasking</br>- High quality 120 dB and 113 dB SNR recording input</br>Audio Feature :</br>- SupremeFX Shielding™ Technology</br>- Gold-plated jacks</p><p>Puertos USB</br>Intel® Z370 Chipset : </br>8 x USB 3.1 Gen 1 port(s) (6 at back panel, blue)</br>Intel® Z370 Chipset : </br>6 x USB 2.0 port(s) </br>ASMedia® USB 3.1 Gen 2 controller : </br>2 x USB 3.1 Gen 2 port(s) (Type-A + USB Type-CTM, Reversible)</p><p>Caracteristicas Overclocking</br>Condensation detection</br>Clear CMOS button</br>ROG RAMCache II</br>ROG CPU-Z</br>ROG CloneDrive</br>MemOK! Button</br>Slow Mode</br>Overwolf</br>ROG Aura</br>- Aura Lighting Control</br>- Aura RGB Strip Headers</br>Extreme Engine Digi+ :</br>- MicroFine Alloy Chokes</br>- NexFET™ Power Block MOSFET</br>- 10K Black Metallic Capacitors</br>ROG Extreme OC kit :</br>- ReTry button</br>- Safe Boot button</br>- Start button</br>- Reset button</br>- Slow Mode</br>- LN2 Mode </br>- PCIe x16 Lane Switch</br>- EZ Plug</br>Double Power :</br>- Dual 8 -pin CPU</br>ProbeIt</br>UEFI BIOS features :</br>- O.C. Profile</br>- Tweakers  Paradise</br>- ROG SSD Secure Erase</br>- Graphic Card Information Preview</br>USB BIOS Flashback</br>Overclocking Protection :</br>- ASUS C.P.R.(CPU Parameter Recall)</p><p>Caracteristicas Especiales</br>ASUS Dual Intelligent Processors 5-Way Optimization by Dual Intelligent Processors 5 :</br>- 5-Way Optimization tuning key perfectly co</p></p>
CBI019;Combo Micro Intel I5 8400  Z370  8gb;506380.00;361700.00;100;24475258;<p>Especificaciones Técnicas del Microprocesador:</p><p># de núcleos: 6</br># de los hilos: 6</br>Frecuencia base del procesador: 2,80 GHz</br>Frecuencia máxima de Turbo: 4.00 GHz</br>Caché: 9 MB</br>Velocidad del autobús: 8 GT / s DMI3</br># de enlaces QPI: 0</br>TDP: 65 W</br>Tamaño máximo de la memoria: 64 GB</br>Tipos de memoria: DDR4-2666</br>Número máximo de canales de memoria: 2</br>Memoria ECC Soportada: No</br>Gráficos del procesador: Gráficos Intel® UHD 630</br>Frecuencia base de gráficos: 350 MHz</br>Resolución máxima (DP): 4096x2304 a 60Hz</br>OpenGL: 4.4 </p><p>Especificaciones Técnicas de la motherboard:</p><p>CPU</br>Socket Intel® 1151 para 8 º Generación Core &#153, Procesadores</br>Soporta Intel® 14 nm CPU</br>Soporta Intel® Turbo Boost Technology 2.0</br>* La tecnología Intel® Turbo Boost 2.0 apoyo depende de los tipos de CPU.</br>Chipset: Intel® Z370</p><p>Memoria</br>4 x DIMM, máx. 64 GB, DDR4 4000 (OC) / 3866 (OC) / 3733 (OC) / 3600 (OC) / 3466 (OC) / 3400 (OC) / 3333 (OC) / 3300 (OC) / 3200 (OC) / 3000 ( OC) / 2800 (OC) / 2666/2400/2133 MHz Memoria sin búfer sin ECC</p><p>Gráfico</br>Procesador de gráficos integrado: compatibilidad con gráficos Intel® HD</br>Soporte de salida de múltiples VGA: puertos HDMI / DVI-D</p><p>Ranuras de expansión</br>2 x PCIe 3.0 / 2.0 x16 (x16, x8 / x8, x8 / x4 + x4 *, x8 + x4 + x4 / x0</br>1 x PCIe 3.0 / 2.0 x16 (máximo en el modo x2)</br>3 x PCIe 3.0 / 2.0 x1</p><p>LAN: Intel® I219V, 1 x controlador (es) Gigabit LAN</br>Audio: CODEC de audio de alta definición Realtek® ALC887 de 8 canales</p><p>Atrás Puertos de E / S</br>1 x puerto (s) combo de teclado / mouse PS / 2</br>1 x DVI-D</br>1 x HDMI</br>1 puerto (s) LAN (RJ45)</br>2 x USB 3.1 Gen 2 (verde azulado) Tipo-A</br>4 x USB 3.1 Gen 1 (azul)</br>2 x USB 2.0</br>1 x salida S / PDIF óptica</br>5 x conector (es) de audio</p><p>Puertos internos de E / S</br>2 x USB 3.1 Conector (es) principal (es) soporte (s) adicional (es) 4 USB 3.1 Puerto (s) Gen 1 (19 pines)</br>2 x Conector (es) USB 2.0 adicional (s) 4 puerto (es) USB 2.0</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280 (modo PCIe 3.0 x 4)</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280/22110 (SATA) Y modo PCIE 3.0 x 4)</br>1 x encabezado de TPM</br>1 x conector de puerto COM 6 x conector (es) SATA 6Gb/s</br>1 x conector (es) de ventilador de CPU (1 x 4 pines)</br>1 x CPU OPT Conector (es) del ventilador (1 x 4 pines)</br>2 x Conector (s) del ventilador del chasis (2 x 4 pines)</br>1 x Conector AIO_PUMP</br>1 conector de alimentación EATX de 24 pines</br>1 x 8 pines ATX 12V Conector (es) de alimentación</br>1 x Conector (es) de audio del panel frontal (AAFP)</br>1 x Panel (es) de sistema (Q-Connector) (el encabezado de intrusión del chasis está incorporado)</br>1 x MemOK! botón (s)</br>1 x CPU OV</br>1 x Puente (s) CMOS claros</p><p>(Mother se entrega marca Asrock, Gigabyte, Asus o Msi según stock!)</p><p>8GB DDR4 según stock marcas ADATA - CRUCIAL - HYNIX - KINGSTON</p></p>
CBI021;Combo Micro Intel I5 8400  H310  2x4gb;396850.00;283470.00;100;24475258;<p>Especificaciones Técnicas del Microprocesador:</p><p># de núcleos: 6</br># de los hilos: 6</br>Frecuencia base del procesador: 2,80 GHz</br>Frecuencia máxima de Turbo: 4.00 GHz</br>Caché: 9 MB</br>Velocidad del autobús: 8 GT / s DMI3</br># de enlaces QPI: 0</br>TDP: 65 W</br>Tamaño máximo de la memoria: 64 GB</br>Tipos de memoria: DDR4-2666</br>Número máximo de canales de memoria: 2</br>Memoria ECC Soportada: No</br>Gráficos del procesador: Gráficos Intel® UHD 630</br>Frecuencia base de gráficos: 350 MHz</br>Resolución máxima (DP): 4096x2304 a 60Hz</br>OpenGL: 4.4 </p><p>Especificaciones Técnicas de la motherboard:</p><p>CPU: Soporte para procesadores Intel® Core &#153, i7 de octava generación / procesadores Intel® Core &#153, i5 / procesadores Intel® Core &#153, i3 / procesadores Intel® Pentium® / procesadores Intel® Celeron® en el paquete LGA1151</p><p>Chipset: Intel H310</br>Memoria: 2 zócalos DIMM DDR4 que admiten hasta 32 GB de memoria del sistema</br>Audio: códec Realtek® ALC887</br>Lan: chip LAN Realtek® GbE (10/100/1000 Mbit)</p><p>Conectores de E / S internos</br>Conector de alimentación principal ATX de 1 x 24 pines</br>Conector de alimentación ATX 12V 1 x 4 pines</br>4 x conectores SATA 6Gb / s</br>1 x encabezado del ventilador de la CPU</br>1 x encabezado del ventilador del sistema</br>1 x encabezado del panel frontal</br>1 x encabezado de audio del panel frontal</br>1 x USB 3.1 Gen 1 encabezado</br>1 x USB 2.0 / 1.1 encabezados</br>1 encabezado de módulo de plataforma confiable (TPM) (pin 2x6, solo para el módulo GC-TPM2.0_S)</br>1 x Puente CMOS transparente</p><p>Conectores del panel posterior</br>1 x teclado PS / 2 / puerto de mouse</br>1 x puerto D-Sub</br>1 x puerto HDMI</br>2 x puertos USB 3.1 Gen 1</br>4 puertos USB 2.0 / 1.1</br>1 x puerto RJ-45</br>3 x conectores de audio</p><p>(Mother se entrega marca Asrock, Gigabyte, Asus o Msi según stock!)</p><p>2x4GB DDR4 según stock marcas ADATA - CRUCIAL - HYNIX - KINGSTON</p></p>
CBI022;Combo Micro Intel I5 8400  Z370;461990.00;329990.00;100;24475258;<p>Especificaciones Técnicas del Microprocesador:</p><p># de núcleos: 6</br># de los hilos: 6</br>Frecuencia base del procesador: 2,80 GHz</br>Frecuencia máxima de Turbo: 4.00 GHz</br>Caché: 9 MB</br>Velocidad del autobús: 8 GT / s DMI3</br># de enlaces QPI: 0</br>TDP: 65 W</br>Tamaño máximo de la memoria: 64 GB</br>Tipos de memoria: DDR4-2666</br>Número máximo de canales de memoria: 2</br>Memoria ECC Soportada: No</br>Gráficos del procesador: Gráficos Intel® UHD 630</br>Frecuencia base de gráficos: 350 MHz</br>Resolución máxima (DP): 4096x2304 a 60Hz</br>OpenGL: 4.4 </p><p>Especificaciones Técnicas de la motherboard:</p><p>CPU</br>Socket Intel® 1151 para 8 º Generación Core &#153, Procesadores</br>Soporta Intel® 14 nm CPU</br>Soporta Intel® Turbo Boost Technology 2.0</br>* La tecnología Intel® Turbo Boost 2.0 apoyo depende de los tipos de CPU.</br>Chipset: Intel® Z370</p><p>Memoria</br>4 x DIMM, máx. 64 GB, DDR4 4000 (OC) / 3866 (OC) / 3733 (OC) / 3600 (OC) / 3466 (OC) / 3400 (OC) / 3333 (OC) / 3300 (OC) / 3200 (OC) / 3000 ( OC) / 2800 (OC) / 2666/2400/2133 MHz Memoria sin búfer sin ECC</p><p>Gráfico</br>Procesador de gráficos integrado: compatibilidad con gráficos Intel® HD</br>Soporte de salida de múltiples VGA: puertos HDMI / DVI-D</p><p>Ranuras de expansión</br>2 x PCIe 3.0 / 2.0 x16 (x16, x8 / x8, x8 / x4 + x4 *, x8 + x4 + x4 / x0</br>1 x PCIe 3.0 / 2.0 x16 (máximo en el modo x2)</br>3 x PCIe 3.0 / 2.0 x1</p><p>LAN: Intel® I219V, 1 x controlador (es) Gigabit LAN</br>Audio: CODEC de audio de alta definición Realtek® ALC887 de 8 canales</p><p>Atrás Puertos de E / S</br>1 x puerto (s) combo de teclado / mouse PS / 2</br>1 x DVI-D</br>1 x HDMI</br>1 puerto (s) LAN (RJ45)</br>2 x USB 3.1 Gen 2 (verde azulado) Tipo-A</br>4 x USB 3.1 Gen 1 (azul)</br>2 x USB 2.0</br>1 x salida S / PDIF óptica</br>5 x conector (es) de audio</p><p>Puertos internos de E / S</br>2 x USB 3.1 Conector (es) principal (es) soporte (s) adicional (es) 4 USB 3.1 Puerto (s) Gen 1 (19 pines)</br>2 x Conector (es) USB 2.0 adicional (s) 4 puerto (es) USB 2.0</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280 (modo PCIe 3.0 x 4)</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280/22110 (SATA) Y modo PCIE 3.0 x 4)</br>1 x encabezado de TPM</br>1 x conector de puerto COM 6 x conector (es) SATA 6Gb/s</br>1 x conector (es) de ventilador de CPU (1 x 4 pines)</br>1 x CPU OPT Conector (es) del ventilador (1 x 4 pines)</br>2 x Conector (s) del ventilador del chasis (2 x 4 pines)</br>1 x Conector AIO_PUMP</br>1 conector de alimentación EATX de 24 pines</br>1 x 8 pines ATX 12V Conector (es) de alimentación</br>1 x Conector (es) de audio del panel frontal (AAFP)</br>1 x Panel (es) de sistema (Q-Connector) (el encabezado de intrusión del chasis está incorporado)</br>1 x MemOK! botón (s)</br>1 x CPU OV</br>1 x Puente (s) CMOS claros</p><p>(Mother se entrega marca Asrock, Gigabyte, Asus o Msi según stock!)</p></p>
PGI071;Pc Intel I5 7400 - 8gb - 1tb - Gtx 1050 2gb;642630.00;459020.00;100;24475258;1 | MICRO INTEL CORE I5 7400 3.00 GHz</br>1 | MOTHER H110M </br>1 | DISCO HDD 1TB SATA3  WD BLUE</br>1 | MEMORIA 8GB DDR4 2400 </br>1 | VIDEO GEFORCE GTX 1050 2GB </br>1 | GABINETE KIT 500W + TECLADO + MOUSE + PARLANTES</br>
CBI023;Combo Intel I7 8700  Z370  8gb;616680.00;440490.00;100;24475258;<p>Especificaciones Técnicas del Microprocesador:</br>Número de procesador: i7-8700</br>Núm. de Núcleos: 6</br># de hilos: 12</br>Frecuencia base del procesador: 3.20 GHz</br>Frecuencia máxima de Turbo: 4.60 GHz</br>Caché: 12 MB</br>Velocidad de bus: 8 GT/s DMI3</br>TDP: 65 W</br>Tamaño máximo de la memoria (según el tipo de memoria): 64 GB</br>Tipos de memoria: DDR4-2666</br>Número máximo de canales de memoria: 2</br>Memoria ECC Soportada: No</br>OpenGL: 4.5</br>Frecuencia base de gráficos: 350 MHz</br>Gráficos Frecuencia Dinámica Máxima: 1.20 GHz</br>Gráficos Video Max Memory: 64 GB</p><p>Especificaciones Técnicas de la motherboard:</p><p>CPU</br>Socket Intel® 1151 para 8 º Generación Core &#153, Procesadores</br>Soporta Intel® 14 nm CPU</br>Soporta Intel® Turbo Boost Technology 2.0</br>* La tecnología Intel® Turbo Boost 2.0 apoyo depende de los tipos de CPU.</br>Chipset: Intel® Z370</p><p>Memoria</br>4 x DIMM, máx. 64 GB, DDR4 4000 (OC) / 3866 (OC) / 3733 (OC) / 3600 (OC) / 3466 (OC) / 3400 (OC) / 3333 (OC) / 3300 (OC) / 3200 (OC) / 3000 ( OC) / 2800 (OC) / 2666/2400/2133 MHz Memoria sin búfer sin ECC</p><p>Gráfico</br>Procesador de gráficos integrado: compatibilidad con gráficos Intel® HD</br>Soporte de salida de múltiples VGA: puertos HDMI / DVI-D</p><p>Ranuras de expansión</br>2 x PCIe 3.0 / 2.0 x16 (x16, x8 / x8, x8 / x4 + x4 *, x8 + x4 + x4 / x0</br>1 x PCIe 3.0 / 2.0 x16 (máximo en el modo x2)</br>3 x PCIe 3.0 / 2.0 x1</p><p>LAN: Intel® I219V, 1 x controlador (es) Gigabit LAN</br>Audio: CODEC de audio de alta definición Realtek® ALC887 de 8 canales</p><p>Atrás Puertos de E / S</br>1 x puerto (s) combo de teclado / mouse PS / 2</br>1 x DVI-D</br>1 x HDMI</br>1 puerto (s) LAN (RJ45)</br>2 x USB 3.1 Gen 2 (verde azulado) Tipo-A</br>4 x USB 3.1 Gen 1 (azul)</br>2 x USB 2.0</br>1 x salida S / PDIF óptica</br>5 x conector (es) de audio</p><p>Puertos internos de E / S</br>2 x USB 3.1 Conector (es) principal (es) soporte (s) adicional (es) 4 USB 3.1 Puerto (s) Gen 1 (19 pines)</br>2 x Conector (es) USB 2.0 adicional (s) 4 puerto (es) USB 2.0</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280 (modo PCIe 3.0 x 4)</br>1 x M.2 Socket 3 con la tecla M, soporte de dispositivos de almacenamiento tipo 2242/2260/2280/22110 (SATA) Y modo PCIE 3.0 x 4)</br>1 x encabezado de TPM</br>1 x conector de puerto COM 6 x conector (es) SATA 6Gb/s</br>1 x conector (es) de ventilador de CPU (1 x 4 pines)</br>1 x CPU OPT Conector (es) del ventilador (1 x 4 pines)</br>2 x Conector (s) del ventilador del chasis (2 x 4 pines)</br>1 x Conector AIO_PUMP</br>1 conector de alimentación EATX de 24 pines</br>1 x 8 pines ATX 12V Conector (es) de alimentación</br>1 x Conector (es) de audio del panel frontal (AAFP)</br>1 x Panel (es) de sistema (Q-Connector) (el encabezado de intrusión del chasis está incorporado)</br>1 x MemOK! botón (s)</br>1 x CPU OV</br>1 x Puente (s) CMOS claros</p><p>(Mother se entrega marca Asrock, Gigabyte, Asus o Msi según stock!)</p><p>8GB DDR4 según stock marcas ADATA - CRUCIAL - HYNIX - KINGSTON</p></p>
VGA1557;Placa de Video Radeon Rx 570 8gb Gigabyte Oc Gaming ;1819568.00;1299691.00;100;24475258;<p>Especificaciones Técnicas:</p><p>- Familia de procesadores de gráficos AMD</p><p>- Procesador gráfico Radeon RX 570</p><p>- Máxima resolución 4096 x 2160 Pixeles</p><p>- Frecuencia del procesador 1168 MHz</p><p>- Aumento de la velocidad de reloj del procesador 1284 MHz</p><p>- Máximas pantallas por tarjeta de video 6</p><p>- Soporte para proceso paralelo 2-Way CrossFireX</p><p>- Gráficos discretos memoria del adaptador 8 GB</p><p>- Tipo de memoria de adaptador gráfico GDDR5</p><p>- Ancho de datos 256 bit</p><p>- Ancho de banda de memoria (max) 227 GB/s</p><p>- Tipo de interfaz PCI Express x16 3.0</p><p>- Número de puertos HDMI 1</p><p>- Cantidad de DisplayPorts 3</p><p>- Cantidad de puertos DVI-D 1</p><p>- Versión HDMI 2.0b</p><p>- Versión de DisplayPort 1.4</p><p>- Versión DirectX 12.0</p><p>- Versión Shader model 5.0</p><p>- Versión OpenGL 4.5</p><p>- Versión OpenCL 2.0</p><p>- AMD FreeSync Si</p><p>- HDCP Si</p><p>- Tipo de enfriamiento Activo</p><p>- Número de ventiladores 2 Ventilador(es)</p><p>- Diámetro de ventilador 9 cm</p><p>- Número de ranuras 2</p><p>- Color del producto Negro, Rojo</p><p>- Acorde RoHS Si</p><p>- Suministro de energía al sistema mínimo 500 W</p><p>- Conectores de energia suplementario 1x 8-pin</p><p>- Ancho 243 mm</p><p>- Altura 40 mm</p><p>- Profundidad 124 mm</p></p>
