CATEGORY_ID;NAME;PARENT_ID;SUBCATEGORIES
11163785;Indumentaria;0;11163793,23491296,23494073,23491297,18330510,24501876,24502079
11163793;Calzado;11163785;
23491296;Camperas;11163785;
23494073;Chalecos;11163785;
23491297;Guantes;11163785;
18330510;Pantalones;11163785;
24501876;Equipo de lluvia;11163785;
24502079;Cascos;11163785;24502080
24502080;Visores;24502079;
5653700;Accesorios;0;5675130,5675186,24501879,24501935,24501950,24501993
5675130;Accesorios Para Motos;5653700;5653698,23494496
5653698;Baúles;5675130;
23494496;Seguridad;5675130;
5675186;Accesorios Para Bicicleta;5653700;11298455,11153413,11230640,5676098
11298455;Seguridad;5675186;
11153413;Luces;5675186;
11230640;Puños;5675186;
5676098;Infladores;5675186;
24501879;Porta equipaje;5653700;
24501935;Soporte celulares;5653700;
24501950;Fundas;5653700;24501951,24501952,24501954
24501951;Asiento;24501950;
24501952;Moto;24501950;
24501954;Guardabarro;24501950;
24501993;Seguridad;5653700;24501994,24501995,24501997
24501994;Cadena traba;24501993;
24501995;Trabadiscos;24501993;
24501997;Traba U;24501993;
11407629;E-Bikes;0;
5664404;Cascos;0;5677257,23490830
5677257;Cascos Para Bicicleta;5664404;
23490830;Cascos Para Moto;5664404;
17195938;Moto Eléctríca;0;
24498021;Bicicletas;0;5877115
5877115;Bicicletas Fijas;24498021;
