SKU;NAME;PRICE;STOCK;CATEGORIES;DESCRIPTION
2;VISOR AXXIS MT-V-24 MAX VISION CLEAR;0.01;10;23566647;Prueba 124
3;ALFORJA P/ BICI;85109.00;10;23566647;Prueba 125
5;ALFORJA CUERINA;31011.00;10;23566647;Prueba 127
6;ALFORJA CUERO RENEGADE;38128.00;10;23566647;Prueba 128
7;ALFORJA CUSTOM;26925.00;10;23566647;Prueba 129
8;ALFORJA CUSTOM GOMA ROUTE 66 BOLSILLO;37202.00;10;23566647;Prueba 130
9;ALFORJAS LATERALES 100% IMPERMEBLE ART 001;61455.00;10;23566647;Prueba 131
10;TAPA PIÑON H. XR 250 JP PLASTICA MXR;22055.00;10;23566647;Prueba 132
11;ALFORJA TIPO GIVI;39151.00;10;23566647;Prueba 133
12;BOLSO PORTA HERRAMIENTAS HONDA/YAMAHA;19113.00;10;23566647;Prueba 134
13;ALFORJA PISTERA ART 601;34300.00;10;23566647;Prueba 135
14;AMORT. H. LEAD DEL.;56442.00;10;23566647;Prueba 136
15;BARRERO VARIOS;3961.00;10;23566647;Prueba 137
16;BASE P/BAUL GIVI MONOLOCK;98331.00;10;23566647;Prueba 138
17;BASE P/BAUL GIVI UNV. GRANDE;220351.00;10;23566647;Prueba 139
18;BAUL GIVI 23 LTS. NEGRO C/REFL;304094.00;10;23566647;Prueba 140
19;BAUL GIVI 26 LTS. NEGRO;86993.00;10;23566647;Prueba 141
20;BAUL GIVI 26 LTS. MONOLOCK C/REFL MICRO;95316.00;10;23566647;Prueba 142
21;BAUL GIVI 30 LTS. NEGRO;147452.00;10;23566647;Prueba 143
22;BAUL GIVI 39 LTS. CUADRADO ECONOMICO;191496.00;10;23566647;Prueba 144
23;BAUL GIVI 42 LTS. MONOLOCK;385589.00;10;23566647;Prueba 145
24;BAUL GIVI 45 LTS. NEGRO C/LUZ;289997.00;10;23566647;Prueba 146
26;BAUL VC 45 LTS PARA 2 CASCOS;62652.00;10;23566647;Prueba 147
27;PARAB. Y. XTZ 250 LANDER;78898.00;10;23566647;Prueba 148
28;BOLSILLO P/ TANQUE H. CG TITAN;4803.00;10;23566647;Prueba 149
29;EQUIPO LLUVIA TYMMO A-32 EVERESTT;135136.00;10;23566647;Prueba 150
30;BOLSO FLETERO ECONOMICO RIDERC;20030.00;10;23566647;Prueba 151
31;BOLSO HERRAMIENTAS CUSTOM;13728.00;10;23566647;Prueba 152
32;BOLSO P/TANQUE 15 X 15 RIDERCRAFT;22134.00;10;23566647;Prueba 153
33;BOLSO HERRAMIENTAS CUSTOM;19113.00;10;23566647;Prueba 154
34;BOLSO P/TANQUE C/IMAN REFORZADO SCOYCO;161139.00;10;23566647;Prueba 155
35;BOLSO P/TANQUE C/IMANES GRANDE;51995.00;10;23566647;Prueba 156
36;BOLSO P/TANQUE MOTO GAMA;21674.00;10;23566647;Prueba 157
37;BOTON P/ BAUL KAPPA;9032.00;10;23566647;Prueba 158
38;BAUL GIVI 33 LTS. TREKKER;1075855.00;10;23566647;Prueba 159
39;BAUL GIVI 47 LTS.;330964.00;10;23566647;Prueba 160
40;CAJA PIZZERA NACIONAL BLANCA C/ESTANTES;41710.00;10;23566647;Prueba 161
41;TAPON VALVULA TUNNING AZUL;452.00;10;23566647;Prueba 162
42;MEDIDOR DE PRESION DIGITAL SLIME;40472.00;10;23566647;Prueba 163
43;CALISUAR (VARIAS MEDIDAS);24392.00;10;23566647;Prueba 164
44;CUBREMOTO NG IMPERMEABLE S-M- L- XL;37490.00;10;23566647;Prueba 165
45;DEFENSA H. AFRICA TWIN;186859.00;10;23566647;Prueba 166
46;DEFENSA H. AFRICA TWIN;330642.00;10;23566647;Prueba 167
48;PORTAEQ. Y. FZ 16 GIVI ARG.;152528.00;10;23566647;Prueba 168
49;DEFENSA H. CG TITAN 2000 FRAN. CRO;67235.00;10;23566647;Prueba 169
50;DEFENSA H. CG TITAN FRAN. CROMADA;55782.00;10;23566647;Prueba 170
51;DEFENSA H. CG TITAN RECTO NEG;29772.00;10;23566647;Prueba 171
52;DEFENSA H. CG TITAN00 CAL.NEG;78773.00;10;23566647;Prueba 172
53;DEFENSA H. SHADOW 500;26695.00;10;23566647;Prueba 173
54;DEFENSA H. SHADOW 750/1100;33390.00;10;23566647;Prueba 174
55;DEFENSA H. XL 600 TRANSALP;355586.00;10;23566647;Prueba 175
56;DEFENSA H. XL 600 TRANSALP ARTE-CO;226885.00;10;23566647;Prueba 176
57;DEFENSA H. XL 650 TRANSALP;417428.00;10;23566647;Prueba 177
58;DEFENSA K. VULCAN 500 FANTIN;97642.00;10;23566647;Prueba 178
59;DEFENSA K. VULCAN 750/1100;16630.00;10;23566647;Prueba 179
60;DEFENSA S. INTRUDER 700/800;28482.00;10;23566647;Prueba 180
61;DEFENSA Y. VIRAGO 750/1100;110680.00;10;23566647;Prueba 181
62;DEFENSA Y. YBR 125 FR. CROMADA;47769.00;10;23566647;Prueba 182
64;FLECOS PARA MANIJAS;3805.00;10;23566647;Prueba 183
65;FLECOS PARA PUÑOS;6940.00;10;23566647;Prueba 184
66;FUELLES BARRAL CIRCUIT CHICO;55117.00;10;23566647;Prueba 185
67;FUELLES BARRAL CIRCUIT GRANDE 32 DIENTES;25777.00;10;23566647;Prueba 186
68;FUELLES BARRAL CIRCUIT CHICO;82701.00;10;23566647;Prueba 187
69;FUELLES BARRAL CIRCUIT CHICO 18D;20167.00;10;23566647;Prueba 188
70;FUELLES BARRAL SCAR CICLO;2312.00;10;23566647;Prueba 189
71;FUELLES BARRAL BORBOE CROSS;33881.00;10;23566647;Prueba 190
72;CUBRE BARRALES UNV. PARA MOTOCROSS PROTORK;66365.00;10;23566647;Prueba 191
73;FUELLES BARRAL BORBOE;31103.00;10;23566647;Prueba 192
74;FUELLES BARRAL BORBOE S. DR 650;33881.00;10;23566647;Prueba 193
75;FUELLES H. CG 150 NEGRO;3293.00;10;23566647;Prueba 194
76;FUELLES BARRAL CIRCUIT H. CG TITAN AZUL (11D);12239.00;10;23566647;Prueba 195
77;FUELLES BARRAL SCAR H. XR 100;30400.00;10;23566647;Prueba 196
78;FUELLES BARRAL BORBOE CICLO;5818.00;10;23566647;Prueba 197
79;INFLADOR DE MANO ZF  COM CO2;29511.00;10;23566647;Prueba 198
80;KIT PROLINK H. XLR 125/NX 150;31139.00;10;23566647;Prueba 199
81;KIT REPARA CUBIERTAS S/CAMARA SLIME 8 PIEZAS;18805.00;10;23566647;Prueba 200
82;OJO GATO H. CG TITAN/TODAY;2991.00;10;23566647;Prueba 201
83;TANQUE NAF. ZANELLA PATAGONIA GRIS;187809.00;10;23566647;Prueba 202
84;PORTABAUL H. XL 600 TRANS. GIVI;386380.00;10;23566647;Prueba 203
85;PORTAEQ. HONDA DAX 70 /MONDIAL;40684.00;10;23566647;Prueba 204
86;PORTAEQ. GILERA SMASH PINTADO;41852.00;10;23566647;Prueba 205
87;PORTAEQ. BAJAJ ROUSER 150-180-200-220 HIERRO MACIZ;70465.00;10;23566647;Prueba 206
88;PORTAEQ. MOTOMEL SKUA 150 TRIAX;44057.00;10;23566647;Prueba 207
89;PORTAEQ. H. BIZ /GIL. SMASH TORK;33534.00;10;23566647;Prueba 208
90;PORTAEQ. H. C 100 BIZ NEGRO OK;37701.00;10;23566647;Prueba 209
91;PORTAEQ. H. PCX 150 CON BASE PARA BAUL RAK;29589.00;10;23566647;Prueba 210
92;PORTAEQ. H. CB 150 INVICTA RAK;63844.00;10;23566647;Prueba 211
93;PORTAEQ. H. CB 250 NIGTH;68117.00;10;23566647;Prueba 212
94;PORTAEQ. H. CB 190 R HIERRO MACIZO RAK;87034.00;10;23566647;Prueba 213
95;EQUIPO LLUVIA TYMMO A-023;126304.00;10;23566647;Prueba 214
96;PORTAEQ. H. TITAN 99 TODAY EVERESTT;39620.00;10;23566647;Prueba 215
