SKU;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;CATEGORIES
CPU448;(OUTLET) MICRO AMD RYZEN 5 2600 PINNACLE RIDGE;105882;96256;0;24525671
MOT2205;MOTHER MSI B560M PRO-E S1200;110868;100789;1;24525681
MOT2206;MOTHER MSI B560M-A PRO S1200;96102;87365;0;24525681
MON795;MONITOR 22 HDC HM-2150FHD 1080P FHD 75Hz 5MS FRAMELESS;99643;90584;11;24525677
DIS1359;HD SSD 1TB Sata III HIKSEMI CITY;89792;81630;0;24525583
NOT2841;NOTEBOOK ASUS 156 VIVOBOOK I7 1255U 16GB 512GB FHD W11;1187999;1079999;6;24525865
DIS1435;HD SSD 1TB CRUCIAL T705 M2 NVME GEN5 13600MB/S 2280;345302;313911;10;24525583
DIS1436;HD SSD 2TB CRUCIAL T705 M2 NVME GEN5 14500MB/S 2280;611756;556141;5;24525583
DIS1437;CARCASA CARRY DISK ENCLOSURE M2 PCI-E TYPE-C EXTERNO ARGOMTECH;25164;22876;0;24525582
TEC867;KIT TECLADO Y MOUSE ESPAÑOL 800 DPI ARGOMTECH ;15529;14117;0;24527250
DIS1438;HD SSD 1TB LEXAR NS100 SATA III 25;87779;79799;0;24525583
DIS1439;HD SSD 512GB LEXAR NM790 GEN4 M2 NVME 7200 MB/S;55430;50391;0;24525583
DIS1440;HD SSD 1TB LEXAR NM790 GEN4 M2 NVME 7200 MB/S;137499;124999;0;24525583
DIS1441;HD SSD 2TB LEXAR NM790 GEN4 M2 NVME 7200 MB/S;251896;228996;0;24525583
DIS1442;HD SSD 4TB LEXAR NM790 GEN4 M2 NVME 7200 MB/S;505999;459999;0;24525583
MEM1865;MEMORIA 8GB DDR4 3600 LEXAR ARES OC RGB;36959;33599;0;24525667
MEM1866;MEMORIA 16GB DDR4 3600 LEXAR ARES OC RGB;63579;57799;0;24525667
MEM1867;MEMORIA 32GB (2x16) DDR5 5600 LEXAR THOR OC CL36;142779;129799;0;24525668
MEM1868;MEMORIA 32GB (2x16) DDR5 6000 LEXAR THOR OC CL32;173249;157499;0;24525668
MEM1869;MEMORIA 32GB (2x16) DDR5 5600 LEXAR ARES RGB CL32;151579;137799;0;24525668
MEM1870;MEMORIA 32GB (2x16) DDR5 6000 LEXAR ARES RGB CL30;182489;165899;0;24525668
MEM1871;MEMORIA 32GB (2x16) DDR5 6400 LEXAR ARES RGB CL32;189199;171999;0;24525668
COO742;COOLER FAN THERMALTAKE 120MM X3 CT120 EX ARGB SYNC 3 PACK BLACK;58367;53061;0;24527239
COO743;COOLER FAN THERMALTAKE 120MM X3 CT120 EX ARGB SYNC 3 PACK WHITE;61703;56094;0;24527239
VAR955;FUENTE 1050W THERMALTAKE TOUGHPOWER GF3 80 PLUS GOLD FULL MODULAR;208459;189509;0;24525640
GAB1760;GABINETE THERMALTAKE CTE T500 FULL TOWER TG;183448;166771;0;24525645
GAB1761;GABINETE THERMALTAKE CTE T500 FULL TOWER TG WHITE;186772;169793;0;24525645
GAB1762;GABINETE THERMALTAKE CTE C700 MID TOWER TG BLACK;188446;171314;0;24525645
NOT2843;NOTEBOOK ASUS 16 ROG ZEPHYRUS I7 13620H 16GB 512GB RTX 4060 FHD 165HZ W11;2221999;2019999;4;24525865
NOT2848;NOTEBOOK LENOVO 156 LOQ I5 13420H 16GB 512GB RTX 3050 6GB W11;1410199;1281999;2;24525864
NOT2851;NOTEBOOK LENOVO 145 IDEAPAD 3 15ITL6 I5 1155G7 8GB 512GB FHD TOUCH W11;769889;699899;0;24525864
NOT2854;NOTEBOOK ASUS 14 VIVOBOOK I3 1215U 8GB 128GB BLUE;577499;524999;0;24525863
MEM1884;MEMORIA 32GB (2X16GB) DDR5 6000 CORSAIR VENGEANCE RGB AMD EXPO;181071;164610;1;24525668
DIS1448;HD SSD 1024GB HIKSEMI WAVE SATA III 25 1TB;85799;77999;187;24525583
