PRODUCT_ID;SKU;VARIANT_ID;CATEGORIES;NAME;PRICE;PROMOTIONAL_PRICE;STOCK;VALUES;UPDATED_AT
211650689;EST001;904079721;24525635;ESTABILIZADOR 1000W ATOMLUX R1000;495678.00;450616.00;5;;2024-05-07T15:12:46
211650708;VAR076;904079790;24525638;FUENTE 600W THERMALTAKE TR2;749100.00;681000.00;11;;2024-05-07T15:12:53
211650728;DIS160;904079871;24525580;HD HDD 2TB WD BLACK SATA III 35;1920234.00;1745667.00;5;;2024-05-07T15:13:00
211650751;DIS112;904079992;24525580;HD USB 1TB WD ELEMENTS USB 30 DISCO EXTERNO PC;931700.00;847000.00;1087;;2024-05-07T15:13:06
211650766;CAM166;904080067;24525596;WEBCAM LOGITECH C270 HD;353220.00;321109.00;52;;2024-05-07T15:13:12
211650780;RED195;904080171;24525608;SWITCH 8 PUERTOS TP-LINK TL-SF1008D;150822.00;137111.00;9224;;2024-05-07T15:13:18
211650793;RED188;904080252;24525608;PLACA DE RED PCIE TP-LINK TL-WN881ND 300MBPS;186755.00;169777.00;2817;;2024-05-07T15:13:24
211650817;DIS510;904080366;24525580;HD USB 1TB SEAGATE EXPANSION;836488.00;760444.00;98;;2024-05-07T15:13:31
211650835;MOT1205;904080417;24525679;MOTHER ASROCK A320M-HDV;998678.00;907889.00;4;;2024-05-07T15:13:38
211650857;UPS025;904080487;24525635;UPS APC BACK BR1200G-AR;8209666.00;7463333.00;219;;2024-05-07T15:13:43
211650869;UPS028;904080540;24525635;UPS APC BACK BR900G-AR;5586412.00;5078556.00;146;;2024-05-07T15:13:49
211650877;TEC378;904080587;24527249;TECLADO Y MOUSE WIRELESS LOGITECH MK850 920-008659;1042188.00;947444.00;8;;2024-05-07T15:13:55
211650892;VAR555;904080647;24525638;FUENTE 500W THERMALTAKE TR2;707590.00;643264.00;20;;2024-05-07T15:14:01
211650910;VAR570;904080712;24525638;FUENTE 600W THERMALTAKE SMART WHITE 80 PLUS;872056.00;792778.00;13;;2024-05-07T15:14:08
211650933;MPD027;904080763;24525849;MOUSE PAD LOGITECH G640 GAMING;371188.00;337444.00;2;;2024-05-07T15:14:14
211650951;PGA038;904080837;24525620;PC GAMER AMD RYZEN 5 5600XA52016GB1TB M2 RTX 3060;16300533.00;14818666.00;10;;2024-05-07T15:14:21
211650975;MOT1270;904080897;24525679;MOTHER ASUS TUF GAMING B450M-PLUS II DDR4 AM4;1755965.00;1596332.00;49;;2024-05-07T15:14:27
211651011;MOT1271;904080978;24525679;MOTHER ASUS TUF GAMING B450-PLUS II DDR4 AM4;3059954.00;2781776.00;5;;2024-05-07T15:14:33
211651074;GAM058;904081087;24525656;PALANCA CAMBIOS LOGITECH G29 G920 DRIVING FORCE SHIFTER 941-;1001515.00;910468.00;1;;2024-05-07T15:14:40
211651125;IMP204;904081178;24525649;ESCANER KODAK I940 SCANMATE 20ppm Bn-Color 600;3704922.00;3368111.00;379;;2024-05-07T15:14:46
211651139;TEC419;904081205;24527249;TECLADO Y MOUSE LOGITECH G213 G203;1208288.00;1098444.00;12;;2024-05-07T15:14:52
211651160;DIS537;904081242;24525580;HD HDD 1TB SEAGATE BARRACUDA SATA III 35;767556.00;697778.00;110;;2024-05-07T15:14:59
211651192;DIS538;904081303;24525580;HD HDD 1TB SEAGATE SKYHAWK SATA III 35;831356.00;755778.00;1287;;2024-05-07T15:15:06
211651243;MUL237;904081409;24525856;REGRABADORA DVD SATA LITEON;329144.00;299222.00;124;;2024-05-07T15:15:12
211651293;AUR319;904081483;24525586;AURICULARES LOGITECH G332 PC PS4 CELU XBOX 981-000755;987188.00;897444.00;85;;2024-05-07T15:15:18
211651341;RED327;904081556;24525608;ROUTER TP-LINK TL-WR840N 300MBPS;278185.00;252895.00;1852;;2024-05-07T15:15:25
211651395;MOU549;904081654;24525851;MOUSE LOGITECH WIRELESS M185 BLACK 910-002225;158033.00;143666.00;28;;2024-05-07T15:15:31
211651443;CBA083;904081761;24525600;COMBO AMD ATHLON 3000G - A320 - 16GB - 1TB;3191100.00;2901000.00;24;;2024-05-07T15:15:38
211651497;PAR267;904081896;24525870;PARLANTE BLUETOOTH LOGITECH ULTIMATE EARS BOOM 3 LAGOON BLUE 984-001356;2473898.00;2248998.00;15;;2024-05-07T15:15:45
211651551;VGA1670;904082034;24525878;VIDEO GEFORCE GT 710 2GB MSI LP;845044.00;768222.00;457;;2024-05-07T15:15:52
211651606;CBA109;904082173;24525600;COMBO AMD ATHLON 3000G - A320 - 16GB;2414500.00;2195000.00;24;;2024-05-07T15:15:59
211651643;MOU554;904082307;24525851;MOUSE CORSAIR M65 ELITE RGB BLACK 18000DPI;821212.00;746556.00;12;;2024-05-07T15:16:05
211651668;DIS569;904082452;24525580;HD HDD 4TB SEAGATE SKYHAWK SATA III 35;1549655.00;1408777.00;7;;2024-05-07T15:16:12
211651693;VAR624;904082526;24525638;FUENTE 500W AEROCOOL CYLON 80 PLUS BRONZE RGB;980222.00;891111.00;384;;2024-05-07T15:16:18
211651712;VAR627;904082566;24525638;FUENTE 600W AEROCOOL CYLON PLUS BRONZE RGB;1052189.00;956535.00;10;;2024-05-07T15:16:25
211651727;VAR628;904082635;24525638;FUENTE 700W AEROCOOL CYLON 80 PLUS BRONZE RGB;1222712.00;1111556.00;486;;2024-05-07T15:16:32
211651741;GAB1089;904082672;24525642;GABINETE MAGNUMTECH 235GM/SF;628100.00;571000.00;226;;2024-05-07T15:16:38
211651759;GAB1090;904082722;24525642;GABINETE MAGNUMTECH 436B FANLED;382188.00;347444.00;1099;;2024-05-07T15:16:44
211651785;GAB1091;904082807;24525642;GABINETE MAGNUMTECH 435R FANLED S/FUENTE;428878.00;389889.00;421;;2024-05-07T15:16:51
211651806;TEC472;904082852;24527249;TECLADO LOGITECH G815 MECANICO RGB LIGHTSYNC 920-008984;2395500.00;2177727.00;10;;2024-05-07T15:16:57
211651821;TEC473;904082880;24527249;TECLADO LOGITECH G915 RGB TACTILE INGLES RGB BT 920-008902;3120456.00;2836778.00;2;;2024-05-07T15:17:03
211651842;COO342;904082969;24527237;CPU COOLER AEROCOOL CYLON 4F RGB;763642.00;694220.00;3;;2024-05-07T15:17:10
211651867;COO343;904083064;24527237;CPU COOLER AEROCOOL AIR FROST 2 FRGB;226966.00;206333.00;61;;2024-05-07T15:17:17
211651910;COO344;904083135;24527237;CPU COOLER AEROCOOL AIR FROST 4 FRGB;286732.00;260665.00;275;;2024-05-07T15:17:24
211651940;DIS606;904083192;24525580;HD SSD 256GB GIGABYTE M2 NVME Q 250GB;350412.00;318556.00;1289;;2024-05-07T15:17:31
211651959;IMP237;904083302;24525649;IMPRESORA HP LASERJET 107A;2261722.00;2056111.00;10;;2024-05-07T15:17:37
